Название организации  (спортивного объекта);Тип (каток/лыжная трасса);Район;Время суток (день/ ночь/ день и ночь);Расположение (открытый/закрытый);Наличие проката инвентаря (да/нет);Наличие услуг инструктора (да/нет);Наличие помещения для переодевания (да/нет);Наличие камеры хранения (да/нет);Наличие кафе на территории (да/нет);широта;долгота
СПб ГБУ «ЦФКСиЗ Петроградского района»;каток;Петроградский;день;открытый;0;0;0;0;0;59.96439;30.31613
СПб ГБУК МДК ЦПКиО им. С.М. Кирова;каток;Петроградский;день;открытый;1;0;1;0;1;59.98084;30.26631
СПб ГБУК МДК ЦПКиО им. С.М. Кирова;каток;Петроградский;день;открытый;1;0;1;0;1;59.98045;30.2512
СПб ГБУК МДК ЦПКиО им. С.М. Кирова;лыжная трасса;Петроградский;день;открытый;1;0;1;0;1;59.97633;30.25855
ООО «СК «Юбилейный»;каток;Петроградский;день;закрытый;0;0;1;1;1;59.950039;30.292093
СД «Хоккейный» филиала ФАУ МО РФ ЦСКА (СКА, г.Санкт-Петербург);каток;Петроградский;день/ночь;закрытый;0;1;1;1;1;59.95746;30.27935
АО «Зенит-Арена» (Каток у Флагштока);каток;Петроградский;день;открытый;1;1;1;1;1;59.970456;30.211809
Лыжная трасса в Приморском парке Победы;лыжная трасса;Петроградский;день;открытый;0;0;0;0;0;59.972227;30.237498
СПбГБУ «Центр спорта Петродворцового района»;каток;Петродворцовый;день;открытый;0;1;0;0;0;59.876784;29.864402
СПбГБУ «Центр спорта Петродворцового района»;каток;Петродворцовый;день;открытый;0;1;1;0;0;59.876508;29.863521
СПб ГБУ «Подростково-молодежный центр Петродворцового района Санкт-Петербурга»;каток;Петродворцовый;день;открытый;0;1;0;0;0;59.851761;30.034076
СПбГБУ «Центр спорта Петродворцового района»;каток;Петродворцовый;день;открытый;0;1;0;0;0;59.903386;29.778972
ГБУ СШ «Манеж» Петродворцового района Санкт-Петербурга;каток;Петродворцовый;день;закрытый;0;0;1;0;0;59.8771;29.854404
Ледовая арена «АСК-С»;каток;Петродворцовый;день;закрытый;1;1;1;1;1;59.850988;30.036357
ГБУ СШ «Манеж» Петродворцового района Санкт-Петербурга;каток;Петродворцовый;день;закрытый;0;0;1;0;0;59.913528;29.763898
ОО«Русская деревня Шуваловка»;каток;Петродворцовый;день;открытый;1;1;1;1;1;59.868234;29.977931
Местная администрация МО г. Петергоф;каток;Петродворцовый;день;открытый;0;0;0;0;0;59.874797;29.89843
Местная администрация МО г. Ломоносов;каток;Петродворцовый;день;открытый;0;0;0;0;0;59.897727;29.774579
СПбГБУ «Центр спорта Петродворцового района»;каток;Петродворцовый;день;открытый;0;1;1;0;0;59.907777;29.767413
РЖД;каток;Петродворцовый;день;открытый;0;0;0;0;0;59.863615;29.925485
АО СПП «Флора»;лыжная трасса;Петродворцовый;день;открытый;0;0;0;0;0;59.875709;29.926574
Петергоф, Луговой парк;лыжная трасса;Петродворцовый;день;открытый;0;0;0;0;0;59.848579;29.879631
Территория лесопарка;лыжная трасса;Петродворцовый;день;открытый;0;0;0;0;0;59.903038;29.760314
Территория Петродворцового района и Ленинградской области;лыжная трасса;Петродворцовый;день;открытый;0;0;0;0;0;59.869271;29.845108
АО СПП «Флора»;лыжная трасса;Петродворцовый;день;открытый;0;0;1;0;0;59.880442;29.878496
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;59.987697;30.316968
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;1;0;0;0;59.986441;30.280333
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;1;0;0;0;60.001101;30.243109
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;60.006406;30.288394
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;60.009468;30.278861
СПб ГБУ «Центр спорта Приморского района» (земельный участок принадлежит администрации Приморского района Санкт-Петербурга);каток;Приморский;день;открытый;0;0;0;0;0;60.01691;30.262919
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;1;0;0;0;60.011825;30.242121
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;60.012025;30.247542
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;1;0;0;0;59.985485;30.240465
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;1;0;0;0;60.008385;30.217839
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;59.986225;30.21316
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;59.987039;30.210357
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;1;0;0;0;59.987066;30.210492
СПб ГБУ «Центр спорта Приморского района»;каток;Приморский;день;открытый;0;0;0;0;0;60.028456;30.247838
"СПб ГБУ ""Центр спорта Приморского района""";каток;Приморский;день;открытый;0;0;0;0;0;60.024396;30.242701
"СПб ГБУ ""Центр спорта Приморского района"" (земельный участок принадлежит Комитету по благоустройству)";лыжная трасса;Приморский;день;открытый;0;0;0;0;0;60.006685;30.308167
"СПб ГБУ ""Центр спорта Приморского района"" (земельный участок принадлежит Комитету по благоустройству)";лыжная трасса;Приморский;день;открытый;0;0;0;0;0;59.983728;30.201812
